system:index,bottom_left,end_date,start_date,top_right,.geo
0,"[-117.06, 52.58]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-115.11, 53.88]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.06771327220036,52.58062723597372],[-115.11214686595036,52.58062723597372],[-115.11214686595036,53.88258957478571],[-117.06771327220036,53.88258957478571],[-117.06771327220036,52.58062723597372]]]}"
1,"[-117.74, 54.21]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-113.95, 55.32]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.74886561595036,54.217976816660695],[-113.95858241282536,54.217976816660695],[-113.95858241282536,55.3206482078372],[-117.74886561595036,55.3206482078372],[-117.74886561595036,54.217976816660695]]]}"
2,"[-110.31, 54.62]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-103.04, 57.15]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.31112147532536,54.62705307380903],[-103.04915858470036,54.62705307380903],[-103.04915858470036,57.15197884566485],[-110.31112147532536,57.15197884566485],[-110.31112147532536,54.62705307380903]]]}"
3,"[-117.07, 55.63]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-114.74, 56.32]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.07869960032536,55.63196960641509],[-114.74959803782536,55.63196960641509],[-114.74959803782536,56.326532229122535],[-117.07869960032536,56.326532229122535],[-117.07869960032536,55.63196960641509]]]}"
4,"[-123.63, 56.93]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-120.56, 58.84]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-123.63753749095036,56.9368277074853],[-120.56136561595036,56.9368277074853],[-120.56136561595036,58.84013235779537],[-123.63753749095036,58.84013235779537],[-123.63753749095036,56.9368277074853]]]}"
5,"[-114.57, 56.61]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-110.24, 58.74]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-114.57381678782536,56.61175918350589],[-110.24520350657536,56.61175918350589],[-110.24520350657536,58.74335876770146],[-114.57381678782536,58.74335876770146],[-114.57381678782536,56.61175918350589]]]}"
6,"[-121.83, 58.95]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-118.28, 60.58]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83967636697889,58.95704020843579],[-118.28010605447889,58.95704020843579],[-118.28010605447889,60.58287239897372],[-121.83967636697889,60.58287239897372],[-121.83967636697889,58.95704020843579]]]}"
7,"[-113.70, 58.74]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-109.09, 60.00]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-113.70979355447889,58.74108072763194],[-109.09553574197889,58.74108072763194],[-109.09553574197889,60.00580308140833],[-113.70979355447889,60.00580308140833],[-113.70979355447889,58.74108072763194]]]}"
8,"[-107.64, 57.55]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-106.65, 58.08]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-107.64534042947889,57.55852305047481],[-106.65657089822889,57.55852305047481],[-106.65657089822889,58.0850852174172],[-107.64534042947889,58.0850852174172],[-107.64534042947889,57.55852305047481]]]}"
9,"[-120.54, 58.02]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-117.99, 58.88]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-120.54328964822889,58.02695768853137],[-117.99446152322889,58.02695768853137],[-117.99446152322889,58.888987927664715],[-120.54328964822889,58.888987927664715],[-120.54328964822889,58.02695768853137]]]}"
10,"[-124.95, 55.78]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-123.79, 56.39]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-124.95979355447889,55.78424083010423],[-123.79524277322889,55.78424083010423],[-123.79524277322889,56.397130285527936],[-124.95979355447889,56.397130285527936],[-124.95979355447889,55.78424083010423]]]}"
11,"[-121.00, 54.89]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-119.79, 55.42]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.00471542947889,54.8970878774441],[-119.79621933572889,54.8970878774441],[-119.79621933572889,55.424282107097625],[-121.00471542947889,55.424282107097625],[-121.00471542947889,54.8970878774441]]]}"
12,"[-119.66, 55.47]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-118.73, 56.35]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-119.66191861775349,55.47308034007053],[-118.73906705525349,55.47308034007053],[-118.73906705525349,56.35960754395457],[-119.66191861775349,56.35960754395457],[-119.66191861775349,55.47308034007053]]]}"
