Id,area,lat,lon,start_date,end_date
US_2021_MN4771209630220210329,12538,47.731,-96.266,2021-04-17,2021-04-28
US_2021_WY4452010599620210726,5328,44.546,-106.019,2021-07-27,2021-08-03
US_2021_ID4253711500720210703,5562,42.526,-114.998,2021-07-03,2021-07-07
US_2021_WA4637511716520210707,8864,46.354,-117.178,2021-07-07,2021-07-08
US_2021_SD4557910276520210329,10635,45.523,-102.63,2021-03-31,2021-04-01
US_2021_MN4797709558220210501,5555,47.946,-95.551,2021-04-26,2021-05-09
US_2021_MT4714310953420211004,12727,47.182,-109.524,2021-10-02,2021-10-26
US_2021_ID4558511544420210705,45254,45.536,-115.385,2021-07-04,2021-08-29
US_2021_ID4645911452820210707,16374,46.466,-114.499,2021-06-01,2021-08-10
US_2021_ID4663811466720210707,5450,46.646,-114.639,2021-07-09,2021-08-01
US_2021_ID4583711495820210717,13807,45.85,-114.92,2021-07-28,2021-09-26
US_2021_MT4568311385420210708,62432,45.624,-113.766,2021-07-06,2021-09-19
US_2021_ID4498311499320210717,9766,44.963,-115.007,2021-07-17,2021-09-22
US_2021_ID4518311442120210708,21029,45.172,-114.416,2021-07-07,2021-08-30
US_2021_ID4453211532920210810,97995,44.597,-115.182,2021-08-06,2021-10-04
US_2021_ID4762711608320210708,12750,47.627,-115.966,2021-07-08,2021-09-05
US_2021_WA4879111827120210805,8049,48.783,-118.28,2021-08-07,2021-09-02
US_2021_WA4828511853120210713,54855,48.372,-118.432,2021-07-13,2021-09-18
US_2021_WA4822911901720210713,37393,48.149,-118.873,2021-07-12,2021-07-20
US_2021_WA4856812048820210708,58591,48.505,-120.43,2021-07-10,2021-08-17
US_2021_WA4855212019420210716,74601,48.672,-120.157,2021-07-17,2021-08-25
US_2021_WA4876511978720210804,7003,48.765,-119.747,2021-08-01,2021-08-27
US_2021_WA4877811903420210803,26165,48.787,-119.077,2021-07-10,2021-08-29
US_2021_MT4579011310120210708,38189,45.8,-113.151,2021-07-09,2021-10-05
US_2021_MT4801910865120210816,16158,47.988,-108.606,2021-08-13,2021-08-30
US_2021_ND4757810265920210501,9886,47.554,-102.582,2021-04-26,2021-05-10
US_2021_NV3700011641620210517,25489,37.076,-116.407,2021-05-14,2021-05-27
US_2021_CA3298011643520210501,5525,32.98,-116.462,2021-04-28,2021-05-04
US_2021_NV3727011619820210825,14385,37.308,-116.148,2021-08-04,2021-09-03
US_2021_CA3568711855020210818,27331,35.696,-118.567,2021-08-19,2021-09-10
US_2021_CA3604711863120210910,97831,35.972,-118.606,2021-09-10,2021-10-06
US_2021_CA3627811855020210815,9011,36.307,-118.546,2021-08-14,2021-09-02
US_2021_CA3658211879520210912,89960,36.578,-118.802,2021-09-09,2021-10-30
US_2021_CA4086312235520210630,12593,40.908,-122.364,2021-06-29,2021-07-09
US_2021_KS3910009890020211215,122971,39.081,-99.04,2021-12-16,2021-12-18
US_2021_TX3555210133220211215,24103,35.593,-101.19,2021-12-14,2021-12-17
US_2021_NM3344410803520210514,12941,33.459,-108.069,2021-05-15,2021-06-07
US_2021_AZ3286511020120210610,35281,32.887,-110.21,2021-06-09,2021-06-24
US_2021_CA3451712013120211011,17677,34.493,-120.111,2021-10-05,2021-10-17
US_2021_AZ3368910927620210616,12525,33.685,-109.312,2021-06-16,2021-07-08
US_2021_TX3562510236720211215,10933,35.646,-102.238,2021-12-14,2021-12-18
US_2021_NE4150910339520210806,6367,41.523,-103.362,2021-08-05,2021-08-10
US_2021_NE4258910342620210913,5546,42.592,-103.45,2021-09-17,2021-09-25
US_2021_TX2695309808820210318,9793,26.899,-98.07,2021-01-20,2021-03-22
US_2021_OK3668810170220211215,7142,36.701,-101.604,2021-12-15,2021-12-17
US_2021_OK3659409616720210329,8699,36.64,-96.181,2021-03-28,2021-04-02
US_2021_OK3661709603920210403,10477,36.66,-96.071,2021-03-27,2021-04-06
US_2021_AZ3135511114320210620,10478,31.345,-111.132,2021-06-17,2021-06-27
US_2021_AZ3207411009320210620,10576,32.084,-110.112,2021-06-10,2021-06-26
US_2021_AZ3345510938920210616,24459,33.48,-109.377,2021-06-16,2021-07-06
US_2021_NM3323810847220210520,95808,33.191,-108.474,2021-05-17,2021-06-24
US_2021_NM3340210587120210426,6361,33.421,-105.832,2021-04-23,2021-05-03
US_2021_OK3441309727820210304,28410,34.403,-97.259,2021-02-20,2021-03-28
US_2021_LA3116109260420211205,5919,31.16,-92.605,2021-03-07,2021-12-07
US_2021_TX3129809525420210311,7272,31.287,-95.253,2021-03-07,2021-03-21
US_2021_NE4252310060220210423,6463,42.545,-100.662,2021-04-27,2021-05-05
US_2021_NE4183910043620210418,6693,41.839,-100.428,2021-04-16,2021-04-24
US_2021_LA3147909303020210426,5340,31.458,-93.031,2021-04-26,2021-05-05
US_2021_NM3676810505920211120,5781,36.768,-105.055,2021-11-19,2021-12-18
US_2021_OK3649009611020210329,23167,36.557,-96.058,2021-03-28,2021-04-06
US_2021_SD4394710092120210329,8123,43.931,-100.877,2021-03-20,2021-03-28
US_2021_FL3033008461420210327,5453,30.313,-84.584,2021-03-19,2021-03-30
US_2021_FL3020008457920210405,24747,30.17,-84.561,2021-02-04,2021-05-23
US_2021_OK3469609469320210305,9236,34.695,-94.693,2021-03-02,2021-03-21
US_2021_FL2593908116020210314,6363,25.957,-81.287,2021-03-11,2021-03-24
US_2021_AR3499609379020210308,5643,34.995,-93.782,2021-03-07,2021-03-12
US_2021_MO3691309203920210307,5067,36.917,-92.045,2021-03-06,2021-03-20
US_2021_FL3004608492720210226,5911,30.048,-84.918,2021-02-06,2021-04-28
US_2021_FL3011108483320210225,5778,30.102,-84.847,2021-02-26,2021-03-18
US_2021_FL2521008104520210308,8143,25.222,-81.054,2021-02-28,2021-03-14
US_2021_AR3607609232920210329,6803,36.079,-92.329,2021-03-02,2021-04-01
US_2021_FL3011208494120210203,6789,30.12,-84.949,2021-01-20,2021-02-26
US_2021_FL2752508106920210330,13782,27.55,-81.125,2021-03-28,2021-07-19
US_2021_FL3027308452320210129,7904,30.261,-84.512,2021-01-21,2021-03-29
US_2021_FL3005708480020210311,10582,30.058,-84.807,2021-03-09,2021-03-18
US_2021_FL2539108041420210430,9675,25.406,-80.408,2021-04-16,2021-05-06
US_2021_FL2633308073620210529,28849,26.384,-80.736,2021-05-25,2021-06-06
